"gene_name","bingrp"
"LOC102723672","chr7:100001-150000"
"LOC100507642","chr7:150001-200000"
"LOC105375115","chr7:150001-200000"
"FAM20C","chr7:200001-250000"
"FOXL3","chr7:250001-300000"
"FOXL3-OT1","chr7:250001-300000"
"LOC442497","chr7:350001-400000"
"PDGFA","chr7:500001-550000"
"HRAT92","chr7:500001-550000"
"PRKAR1B-AS2","chr7:550001-600000"
"PRKAR1B-AS1","chr7:600001-650000"
"DNAAF5","chr7:750001-800000"
"SUN1","chr7:800001-850000"
"GET4","chr7:850001-900000"
"ADAP1","chr7:900001-950000"
"COX19","chr7:950001-1000000"
"CYP2W1","chr7:950001-1000000"
"MIR339","chr7:1000001-1050000"
"GPR146","chr7:1050001-1100000"
"GPER1","chr7:1050001-1100000"
"ZFAND2A","chr7:1150001-1200000"
"LOC101927021","chr7:1150001-1200000"
"UNCX","chr7:1200001-1250000"
"MICALL2","chr7:1400001-1450000"
"INTS1","chr7:1450001-1500000"
"MAFK","chr7:1500001-1550000"
"LOC100128653","chr7:1500001-1550000"
"TMEM184A","chr7:1500001-1550000"
"PSMG3","chr7:1550001-1600000"
"PSMG3-AS1","chr7:1550001-1600000"
"TFAMP1","chr7:1600001-1650000"
"ELFN1","chr7:1700001-1750000"
"ELFN1-AS1","chr7:1700001-1750000"
"MIR4655","chr7:1800001-1850000"
"SNORA114","chr7:2050001-2100000"
"MRM2","chr7:2200001-2250000"
"NUDT1","chr7:2200001-2250000"
"SNX8","chr7:2250001-2300000"
"MIR6836","chr7:2250001-2300000"
"EIF3B","chr7:2350001-2400000"
"CHST12","chr7:2400001-2450000"
"GRIFIN","chr7:2450001-2500000"
"LFNG","chr7:2500001-2550000"
"MIR4648","chr7:2500001-2550000"
"BRAT1","chr7:2500001-2550000"
"IQCE","chr7:2550001-2600000"
"TTYH3","chr7:2600001-2650000"
"AMZ1","chr7:2700001-2750000"
"LOC100129603","chr7:3100001-3150000"
"LOC105375131","chr7:4100001-4150000"
"FOXK1","chr7:4700001-4750000"
"AP5Z1","chr7:4750001-4800000"
"MIR4656","chr7:4750001-4800000"
"RADIL","chr7:4800001-4850000"
"SNORD165","chr7:4800001-4850000"
"PAPOLB","chr7:4850001-4900000"
"MMD2","chr7:4900001-4950000"
"RNF216P1","chr7:4950001-5000000"
"RBAK","chr7:5050001-5100000"
"RBAK-RBAKDN","chr7:5050001-5100000"
"RBAKDN","chr7:5050001-5100000"
"ZNF890P","chr7:5100001-5150000"
"WIPI2","chr7:5200001-5250000"
"SLC29A4","chr7:5250001-5300000"
"LOC100129484","chr7:5400001-5450000"
"FBXL18","chr7:5450001-5500000"
"MIR589","chr7:5450001-5500000"
"LOC221946","chr7:5500001-5550000"
"ACTB","chr7:5500001-5550000"
"FSCN1","chr7:5550001-5600000"
"RNF216-IT1","chr7:5650001-5700000"
"MIR6874","chr7:5700001-5750000"
"ZNF815P","chr7:5800001-5850000"
"OCM","chr7:5850001-5900000"
"CCZ1","chr7:5900001-5950000"
"PMS2","chr7:5950001-6000000"
"AIMP2","chr7:6000001-6050000"
"SNORA80D","chr7:6000001-6050000"
"EIF2AK1","chr7:6000001-6050000"
"ANKRD61","chr7:6000001-6050000"
"USP42","chr7:6100001-6150000"
"FAM220A","chr7:6300001-6350000"
"RAC1","chr7:6350001-6400000"
"DAGLB","chr7:6400001-6450000"
"KDELR2","chr7:6450001-6500000"
"GRID2IP","chr7:6500001-6550000"
"ZDHHC4","chr7:6550001-6600000"
"C7orf26","chr7:6550001-6600000"
"ZNF853","chr7:6600001-6650000"
"ZNF316","chr7:6600001-6650000"
"ZNF12","chr7:6650001-6700000"
"PMS2CL","chr7:6700001-6750000"
"RSPH10B2","chr7:6750001-6800000"
"CCZ1B","chr7:6800001-6850000"
"MIR3683","chr7:7050001-7100000"
"LOC100131257","chr7:7050001-7100000"
"C1GALT1","chr7:7200001-7250000"
"LOC101927354","chr7:7250001-7300000"
"LOC101927391","chr7:7550001-7600000"
"MIOS","chr7:7550001-7600000"
"RPA3","chr7:7650001-7700000"
"GLCCI1-DT","chr7:7950001-8000000"
"LOC100505938","chr7:8300001-8350000"
"PER3P1","chr7:9600001-9650000"
"LOC100131472","chr7:10700001-10750000"
"NDUFA4","chr7:10900001-10950000"
"TMEM106B","chr7:12200001-12250000"
"VWDE","chr7:12350001-12400000"
"LOC102725191","chr7:12500001-12550000"
"SCIN","chr7:12600001-12650000"
"ARL4A","chr7:12650001-12700000"
"MEOX2","chr7:15600001-15650000"
"LOC105375166","chr7:15650001-15700000"
"LINC02587","chr7:15650001-15700000"
"CRPPA-AS1","chr7:16200001-16250000"
"SOSTDC1","chr7:16450001-16500000"
"LRRC72","chr7:16550001-16600000"
"ANKMY2","chr7:16600001-16650000"
"BZW2","chr7:16650001-16700000"
"TSPAN13","chr7:16750001-16800000"
"AGR2","chr7:16750001-16800000"
"AGR3","chr7:16850001-16900000"
"AHR","chr7:17300001-17350000"
"KCCAT333","chr7:17400001-17450000"
"LOC101927630","chr7:17500001-17550000"
"PRPS1L1","chr7:18000001-18050000"
"MIR1302-6","chr7:18100001-18150000"
"TWIST1","chr7:19100001-19150000"
"FERD3L","chr7:19100001-19150000"
"TWISTNB","chr7:19700001-19750000"
"MIR3146","chr7:19700001-19750000"
"TMEM196","chr7:19700001-19750000"
"MACC1","chr7:20150001-20200000"
"MACC1-AS1","chr7:20100001-20150000"
"LOC100506098","chr7:20200001-20250000"
"LOC101927769","chr7:20300001-20350000"
"LOC101927811","chr7:20300001-20350000"
"ITGB8","chr7:20350001-20400000"
"SP8","chr7:20750001-20800000"
"RPL23P8","chr7:20800001-20850000"
"SP4","chr7:21450001-21500000"
"MIR1183","chr7:21450001-21500000"
"CDCA7L","chr7:21900001-21950000"
"STEAP1B","chr7:22450001-22500000"
"LOC100506178","chr7:22550001-22600000"
"LOC401312","chr7:22650001-22700000"
"IL6-AS1","chr7:22700001-22750000"
"IL6","chr7:22700001-22750000"
"TOMM7","chr7:22800001-22850000"
"SNHG26","chr7:22850001-22900000"
"SNORD93","chr7:22850001-22900000"
"FAM126A","chr7:22950001-23000000"
"KLHL7-DT","chr7:23100001-23150000"
"KLHL7","chr7:23100001-23150000"
"NUP42","chr7:23150001-23200000"
"GPNMB","chr7:23250001-23300000"
"MALSU1","chr7:23300001-23350000"
"SNORD65C","chr7:23350001-23400000"
"RPS2P32","chr7:23450001-23500000"
"TRA2A","chr7:23500001-23550000"
"CLK2P1","chr7:23550001-23600000"
"CCDC126","chr7:23600001-23650000"
"FAM221A","chr7:23650001-23700000"
"NPY","chr7:24250001-24300000"
"GSDME","chr7:24700001-24750000"
"CYCS","chr7:25100001-25150000"
"C7orf31","chr7:25150001-25200000"
"NPVF","chr7:25200001-25250000"
"MIR148A","chr7:25900001-25950000"
"NFE2L3","chr7:26150001-26200000"
"HNRNPA2B1","chr7:26150001-26200000"
"CBX3","chr7:26200001-26250000"
"SNX10","chr7:26300001-26350000"
"LOC105375304","chr7:26350001-26400000"
"KIAA0087","chr7:26500001-26550000"
"LINC02860","chr7:26600001-26650000"
"HOXA1","chr7:27050001-27100000"
"HOTAIRM1","chr7:27050001-27100000"
"HOXA2","chr7:27100001-27150000"
"HOXA3","chr7:27100001-27150000"
"HOXA-AS2","chr7:27100001-27150000"
"HOXA4","chr7:27100001-27150000"
"HOXA-AS3","chr7:27100001-27150000"
"HOXA5","chr7:27100001-27150000"
"HOXA6","chr7:27100001-27150000"
"HOXA7","chr7:27150001-27200000"
"HOXA10-HOXA9","chr7:27150001-27200000"
"HOXA9","chr7:27150001-27200000"
"HOXA10-AS","chr7:27150001-27200000"
"MIR196B","chr7:27150001-27200000"
"HOXA10","chr7:27150001-27200000"
"HOXA11","chr7:27150001-27200000"
"HOXA11-AS","chr7:27150001-27200000"
"HOXA13","chr7:27150001-27200000"
"HOTTIP","chr7:27200001-27250000"
"EVX1-AS","chr7:27200001-27250000"
"EVX1","chr7:27200001-27250000"
"TSL","chr7:27600001-27650000"
"TAX1BP1","chr7:27750001-27800000"
"JAZF1-AS1","chr7:28200001-28250000"
"TRIL","chr7:28950001-29000000"
"LOC100506497","chr7:28950001-29000000"
"LOC101928168","chr7:29100001-29150000"
"CHN2-AS1","chr7:29200001-29250000"
"PRR15","chr7:29550001-29600000"
"LOC646762","chr7:29650001-29700000"
"MIR550A3","chr7:29650001-29700000"
"ZNRF2P2","chr7:29650001-29700000"
"DPY19L2P3","chr7:29700001-29750000"
"SCRN1","chr7:29950001-30000000"
"FKBP14","chr7:30000001-30050000"
"MTURN","chr7:30100001-30150000"
"LOC105375218","chr7:30250001-30300000"
"ZNRF2","chr7:30300001-30350000"
"MIR550A1","chr7:30250001-30300000"
"DKFZP586I1420","chr7:30350001-30400000"
"LINC01176","chr7:30350001-30400000"
"NOD1","chr7:30450001-30500000"
"GGCT","chr7:30500001-30550000"
"GARS-DT","chr7:30550001-30600000"
"GARS1","chr7:30600001-30650000"
"CRHR2","chr7:30650001-30700000"
"INMT","chr7:30750001-30800000"
"AQP1","chr7:30900001-30950000"
"GHRHR","chr7:30950001-31000000"
"ADCYAP1R1","chr7:31050001-31100000"
"NEUROD6","chr7:31300001-31350000"
"PPP1R17","chr7:31650001-31700000"
"LOC100130673","chr7:32450001-32500000"
"LSM5","chr7:32450001-32500000"
"AVL9","chr7:32500001-32550000"
"ZNRF2P1","chr7:32700001-32750000"
"MIR550A2","chr7:32700001-32750000"
"LINC00997","chr7:32750001-32800000"
"DPY19L1P2","chr7:32800001-32850000"
"KBTBD2","chr7:32850001-32900000"
"RP9P","chr7:32900001-32950000"
"FKBP9","chr7:32950001-33000000"
"NT5C3A","chr7:33000001-33050000"
"RP9","chr7:33100001-33150000"
"TBX20","chr7:35200001-35250000"
"LOC401324","chr7:35300001-35350000"
"HERPUD2","chr7:35650001-35700000"
"LOC101930085","chr7:35650001-35700000"
"LOC100506725","chr7:35700001-35750000"
"SEPTIN7-AS1","chr7:35750001-35800000"
"LOC101928618","chr7:36050001-36100000"
"KIAA0895","chr7:36350001-36400000"
"ANLN","chr7:36400001-36450000"
"AOAH-IT1","chr7:36550001-36600000"
"MIR1200","chr7:36900001-36950000"
"ELMO1-AS1","chr7:37000001-37050000"
"GPR141","chr7:37700001-37750000"
"NME8","chr7:37850001-37900000"
"SFRP4","chr7:37900001-37950000"
"EPDR1","chr7:37900001-37950000"
"STARD3NL","chr7:38200001-38250000"
"TARP","chr7:38250001-38300000"
"TRG-AS1","chr7:38350001-38400000"
"FAM183BP","chr7:38650001-38700000"
"POU6F2-AS2","chr7:38950001-39000000"
"SNORA20B","chr7:39300001-39350000"
"POU6F2-AS1","chr7:39400001-39450000"
"YAE1","chr7:39550001-39600000"
"RALA","chr7:39650001-39700000"
"LINC00265","chr7:39750001-39800000"
"LOC112267983","chr7:39900001-39950000"
"MPLKIP","chr7:40100001-40150000"
"LINC01450","chr7:40950001-41000000"
"LINC01449","chr7:41100001-41150000"
"INHBA","chr7:41650001-41700000"
"INHBA-AS1","chr7:41700001-41750000"
"LINC01448","chr7:42650001-42700000"
"C7orf25","chr7:42900001-42950000"
"PSMA2","chr7:42900001-42950000"
"MRPL32","chr7:42900001-42950000"
"HECW1-IT1","chr7:43100001-43150000"
"MIR3943","chr7:43150001-43200000"
"LUARIS","chr7:43500001-43550000"
"STK17A","chr7:43600001-43650000"
"BLVRA","chr7:43750001-43800000"
"MRPS24","chr7:43850001-43900000"
"URGCP-MRPS24","chr7:43850001-43900000"
"URGCP","chr7:43900001-43950000"
"UBE2D4","chr7:43900001-43950000"
