"gene_name","bingrp"
"LOC102723672","chr7:1-500000"
"LOC100507642","chr7:1-500000"
"LOC105375115","chr7:1-500000"
"FAM20C","chr7:1-500000"
"FOXL3","chr7:1-500000"
"FOXL3-OT1","chr7:1-500000"
"LOC442497","chr7:1-500000"
"PDGFA","chr7:500001-1000000"
"HRAT92","chr7:500001-1000000"
"PRKAR1B","chr7:500001-1000000"
"PRKAR1B-AS2","chr7:500001-1000000"
"PRKAR1B-AS1","chr7:500001-1000000"
"DNAAF5","chr7:500001-1000000"
"SUN1","chr7:500001-1000000"
"GET4","chr7:500001-1000000"
"ADAP1","chr7:500001-1000000"
"COX19","chr7:500001-1000000"
"CYP2W1","chr7:500001-1000000"
"C7orf50","chr7:1000001-1500000"
"MIR339","chr7:1000001-1500000"
"GPR146","chr7:1000001-1500000"
"GPER1","chr7:1000001-1500000"
"ZFAND2A","chr7:1000001-1500000"
"LOC101927021","chr7:1000001-1500000"
"UNCX","chr7:1000001-1500000"
"MICALL2","chr7:1000001-1500000"
"INTS1","chr7:1000001-1500000"
"MAFK","chr7:1500001-2000000"
"LOC100128653","chr7:1500001-2000000"
"TMEM184A","chr7:1500001-2000000"
"PSMG3","chr7:1500001-2000000"
"PSMG3-AS1","chr7:1500001-2000000"
"TFAMP1","chr7:1500001-2000000"
"ELFN1","chr7:1500001-2000000"
"ELFN1-AS1","chr7:1500001-2000000"
"MAD1L1","chr7:2000001-2500000"
"MIR4655","chr7:1500001-2000000"
"SNORA114","chr7:2000001-2500000"
"MRM2","chr7:2000001-2500000"
"NUDT1","chr7:2000001-2500000"
"SNX8","chr7:2000001-2500000"
"MIR6836","chr7:2000001-2500000"
"EIF3B","chr7:2000001-2500000"
"CHST12","chr7:2000001-2500000"
"GRIFIN","chr7:2000001-2500000"
"LFNG","chr7:2500001-3000000"
"MIR4648","chr7:2500001-3000000"
"BRAT1","chr7:2500001-3000000"
"IQCE","chr7:2500001-3000000"
"TTYH3","chr7:2500001-3000000"
"AMZ1","chr7:2500001-3000000"
"GNA12","chr7:2500001-3000000"
"CARD11","chr7:2500001-3000000"
"LOC100129603","chr7:3000001-3500000"
"SDK1","chr7:3500001-4000000"
"LOC105375131","chr7:4000001-4500000"
"FOXK1","chr7:4500001-5000000"
"AP5Z1","chr7:4500001-5000000"
"MIR4656","chr7:4500001-5000000"
"RADIL","chr7:4500001-5000000"
"SNORD165","chr7:4500001-5000000"
"PAPOLB","chr7:4500001-5000000"
"MMD2","chr7:4500001-5000000"
"RNF216P1","chr7:4500001-5000000"
"RBAK","chr7:5000001-5500000"
"RBAK-RBAKDN","chr7:5000001-5500000"
"RBAKDN","chr7:5000001-5500000"
"ZNF890P","chr7:5000001-5500000"
"WIPI2","chr7:5000001-5500000"
"SLC29A4","chr7:5000001-5500000"
"TNRC18","chr7:5000001-5500000"
"LOC100129484","chr7:5000001-5500000"
"FBXL18","chr7:5000001-5500000"
"MIR589","chr7:5000001-5500000"
"LOC221946","chr7:5500001-6000000"
"ACTB","chr7:5500001-6000000"
"FSCN1","chr7:5500001-6000000"
"RNF216","chr7:5500001-6000000"
"RNF216-IT1","chr7:5500001-6000000"
"MIR6874","chr7:5500001-6000000"
"ZNF815P","chr7:5500001-6000000"
"OCM","chr7:5500001-6000000"
"CCZ1","chr7:5500001-6000000"
"PMS2","chr7:5500001-6000000"
"AIMP2","chr7:6000001-6500000"
"SNORA80D","chr7:6000001-6500000"
"EIF2AK1","chr7:6000001-6500000"
"ANKRD61","chr7:6000001-6500000"
"USP42","chr7:6000001-6500000"
"CYTH3","chr7:6000001-6500000"
"FAM220A","chr7:6000001-6500000"
"RAC1","chr7:6000001-6500000"
"DAGLB","chr7:6000001-6500000"
"KDELR2","chr7:6000001-6500000"
"GRID2IP","chr7:6500001-7000000"
"ZDHHC4","chr7:6500001-7000000"
"C7orf26","chr7:6500001-7000000"
"ZNF853","chr7:6500001-7000000"
"ZNF316","chr7:6500001-7000000"
"ZNF12","chr7:6500001-7000000"
"PMS2CL","chr7:6500001-7000000"
"RSPH10B2","chr7:6500001-7000000"
"CCZ1B","chr7:6500001-7000000"
"MIR3683","chr7:7000001-7500000"
"LOC100131257","chr7:7000001-7500000"
"C1GALT1","chr7:7000001-7500000"
"LOC101927354","chr7:7000001-7500000"
"COL28A1","chr7:7000001-7500000"
"LOC101927391","chr7:7500001-8000000"
"MIOS","chr7:7500001-8000000"
"RPA3","chr7:7500001-8000000"
"UMAD1","chr7:7500001-8000000"
"GLCCI1-DT","chr7:7500001-8000000"
"GLCCI1","chr7:8000001-8500000"
"ICA1","chr7:8000001-8500000"
"LOC100505938","chr7:8000001-8500000"
"NXPH1","chr7:8500001-9000000"
"PER3P1","chr7:9500001-10000000"
"MGC4859","chr7:10500001-11000000"
"LOC100131472","chr7:10500001-11000000"
"NDUFA4","chr7:10500001-11000000"
"PHF14","chr7:11000001-11500000"
"THSD7A","chr7:11500001-12000000"
"TMEM106B","chr7:12000001-12500000"
"VWDE","chr7:12000001-12500000"
"LOC102725191","chr7:12500001-13000000"
"SCIN","chr7:12500001-13000000"
"ARL4A","chr7:12500001-13000000"
"ETV1","chr7:13500001-14000000"
"DGKB","chr7:14500001-15000000"
"AGMO","chr7:15000001-15500000"
"MEOX2","chr7:15500001-16000000"
"LOC105375166","chr7:15500001-16000000"
"LINC02587","chr7:15500001-16000000"
"CRPPA","chr7:16000001-16500000"
"CRPPA-AS1","chr7:16000001-16500000"
"SOSTDC1","chr7:16000001-16500000"
"LRRC72","chr7:16500001-17000000"
"ANKMY2","chr7:16500001-17000000"
"BZW2","chr7:16500001-17000000"
"TSPAN13","chr7:16500001-17000000"
"AGR2","chr7:16500001-17000000"
"AGR3","chr7:16500001-17000000"
"AHR","chr7:17000001-17500000"
"KCCAT333","chr7:17000001-17500000"
"LOC101927630","chr7:17500001-18000000"
"SNX13","chr7:17500001-18000000"
"PRPS1L1","chr7:18000001-18500000"
"HDAC9","chr7:18500001-19000000"
"MIR1302-6","chr7:18000001-18500000"
"TWIST1","chr7:19000001-19500000"
"FERD3L","chr7:19000001-19500000"
"TWISTNB","chr7:19500001-20000000"
"MIR3146","chr7:19500001-20000000"
"TMEM196","chr7:19500001-20000000"
"LOC101927668","chr7:20000001-20500000"
"MACC1","chr7:20000001-20500000"
"MACC1-AS1","chr7:20000001-20500000"
"LOC100506098","chr7:20000001-20500000"
"LOC101927769","chr7:20000001-20500000"
"LOC101927811","chr7:20000001-20500000"
"ITGB8","chr7:20000001-20500000"
"ABCB5","chr7:20500001-21000000"
"SP8","chr7:20500001-21000000"
"RPL23P8","chr7:20500001-21000000"
"LINC01162","chr7:20500001-21000000"
"SP4","chr7:21000001-21500000"
"MIR1183","chr7:21000001-21500000"
"DNAH11","chr7:21500001-22000000"
"CDCA7L","chr7:21500001-22000000"
"RAPGEF5","chr7:22000001-22500000"
"STEAP1B","chr7:22000001-22500000"
"LOC100506178","chr7:22500001-23000000"
"LOC401312","chr7:22500001-23000000"
"IL6-AS1","chr7:22500001-23000000"
"IL6","chr7:22500001-23000000"
"TOMM7","chr7:22500001-23000000"
"SNHG26","chr7:22500001-23000000"
"SNORD93","chr7:22500001-23000000"
"FAM126A","chr7:22500001-23000000"
"KLHL7-DT","chr7:23000001-23500000"
"KLHL7","chr7:23000001-23500000"
"NUP42","chr7:23000001-23500000"
"GPNMB","chr7:23000001-23500000"
"MALSU1","chr7:23000001-23500000"
"IGF2BP3","chr7:23000001-23500000"
"SNORD65C","chr7:23000001-23500000"
"RPS2P32","chr7:23000001-23500000"
"TRA2A","chr7:23500001-24000000"
"CLK2P1","chr7:23500001-24000000"
